id,block,far_mean,far_median,far_stddev,ladu_mean,ladu_median,ladu_stddev,os_mean,os_median,os_stddev
1,400,1.26,1.36,0.77,3119.78,1471.0,3055.31,46.55,37.59,19.3
2,416,1.4,1.2,0.77,1464.91,1249.5,1248.76,41.69,45.23,18.48
4,461,1.16,1.16,0.0,1125.0,1125.0,0.0,55.82,55.82,0.0
6,483,3.26,3.26,0.0,34050.0,34050.0,0.0,12.08,12.08,0.0
8,526,0.84,0.72,0.26,25095.17,16250.0,21070.79,30.59,27.73,6.61
9,547,5.08,5.08,0.0,343.58,343.58,0.0,7.93,7.93,0.0
10,566,1.85,1.85,0.0,59999.0,59999.0,0.0,38.41,38.41,0.0
11,571,1.76,1.76,0.0,45148.0,45148.0,0.0,86.84,86.84,0.0
13,505,2.29,2.29,0.0,2752.5,2752.5,0.0,42.78,42.78,0.0
17,370,1.02,0.94,0.7,7035.04,2609.5,8978.78,57.56,58.94,28.3
18,352,0.77,0.76,0.25,7175.6,7957.0,2502.8,27.76,24.25,19.57
19,391,1.99,1.62,0.99,1267.54,1303.0,329.75,51.13,56.02,26.88
20,392,1.54,1.6,0.22,3095.83,1794.5,2138.69,32.43,39.7,15.24
21,397,1.56,1.21,0.98,811.36,856.67,296.97,50.75,56.77,35.09
23,377,1.61,1.83,0.63,823.82,716.0,423.29,43.0,43.21,20.87
24,381,1.8,1.98,0.77,1205.48,1149.0,510.88,19.49,17.1,14.04
25,382,1.11,1.23,0.51,1585.82,1265.0,916.52,55.92,58.34,18.09
26,385,1.42,1.32,0.58,1031.38,1023.41,295.85,39.34,42.37,24.13
27,390,2.4,2.4,0.33,1510.0,1327.5,719.77,6.65,6.67,4.92
29,412,1.27,1.54,0.47,1344.32,948.5,1355.82,55.46,50.17,12.93
57,417,0.86,0.86,0.0,1562.0,1562.0,0.0,49.1,49.1,0.0
59,546,1.14,0.97,0.84,3007.49,2399.0,3353.79,47.88,53.54,23.81
60,555,1.14,1.32,0.58,1855.47,1141.75,1262.75,61.9,56.58,7.73
61,415,1.29,1.29,0.52,1040.55,1040.55,115.45,63.9,63.9,2.65
64,456,0.71,0.67,0.15,2732.8,2150.0,1320.01,60.28,65.54,15.06
65,462,0.69,0.69,0.0,4010.5,4010.5,0.0,65.29,65.29,0.0
67,511,0.88,0.61,0.74,3531.83,3461.5,2192.5,54.86,58.23,29.21
69,536,1.96,1.9,0.56,661.15,644.25,247.71,49.67,44.78,33.55
74,542,0.77,0.66,0.32,3337.39,1930.25,4227.74,73.11,74.79,13.38
78,510,1.52,1.54,0.47,890.87,900.08,216.22,58.02,53.98,31.89
80,551,2.09,2.19,0.56,1079.5,805.75,686.18,53.55,45.18,23.8
89,586,1.32,0.97,0.73,1902.67,1249.0,1731.55,34.58,40.21,21.06
96,561,0.94,0.94,0.0,2242.0,2242.0,0.0,82.67,82.67,0.0
97,602,1.35,1.31,0.53,1427.05,628.33,1646.96,53.62,46.4,20.01
101,645,1.95,1.95,0.0,595.2,595.2,0.0,71.45,71.45,0.0
102,647,0.59,0.59,0.02,3300.0,3300.0,1633.0,40.39,40.39,1.36
120,723,1.15,1.15,0.0,1230.75,1230.75,0.0,56.04,56.04,0.0
121,729,0.65,0.65,0.04,1375.4,1375.4,249.6,52.25,52.25,21.6
128,718,0.18,0.18,0.05,106842.5,106842.5,84819.5,90.83,90.83,3.44
129,641,1.16,1.21,0.48,2172.21,765.09,2375.01,47.76,43.36,14.26
134,711,0.54,0.54,0.06,1836.5,1836.5,662.5,75.12,75.12,0.52
135,719,0.77,0.76,0.27,1682.38,1342.16,911.42,59.12,56.28,8.2
145,638,1.29,1.08,0.6,1424.61,848.75,1265.83,42.86,36.08,16.7
146,642,0.79,0.83,0.23,2111.0,2488.0,822.09,63.61,63.14,4.83
147,659,0.81,0.74,0.28,1347.88,1032.34,628.12,55.15,58.48,11.77
148,671,1.22,1.09,0.44,1037.18,820.5,496.31,46.08,52.47,15.51
172,654,1.43,1.46,0.75,1231.38,963.1,837.68,44.5,42.66,19.57
173,664,1.11,1.0,0.3,1144.83,1159.66,272.44,56.37,60.96,10.51
200,681,0.38,0.38,0.15,68502.5,68502.5,10088.5,86.28,86.28,9.26
237,623,0.87,0.9,0.28,1415.64,978.67,757.52,62.96,64.46,23.42
240,578,1.16,1.1,0.32,2241.12,1432.75,1803.55,40.63,43.87,13.32
247,628,0.84,0.82,0.34,2137.84,1487.84,1458.07,65.49,64.78,9.2
248,629,1.08,0.97,0.5,1316.69,966.5,688.93,49.81,49.81,23.56
249,630,0.99,1.12,0.55,2041.43,1112.27,1945.78,55.64,51.2,22.13
263,604,1.46,1.65,0.55,2228.89,1883.0,1535.97,42.54,40.15,9.24
278,281,1.28,1.28,0.38,1438.3,1438.3,513.7,49.16,49.16,10.77
295,506,0.95,0.94,0.28,2305.24,2078.0,1508.6,57.2,63.7,19.96
296,523,0.94,0.95,0.29,7505.33,1334.5,10866.28,59.57,57.07,8.07
303,488,0.66,0.59,0.47,3974.82,3190.25,3055.13,68.62,68.28,15.49
306,374,1.12,1.09,0.64,2002.11,879.5,2140.94,41.82,46.41,26.06
309,364,1.17,1.1,0.22,3643.62,2248.75,3367.94,31.66,35.51,20.99
310,394,1.39,1.59,0.8,3717.89,1219.67,4018.79,43.57,37.36,18.35
311,455,0.6,0.66,0.23,3680.33,2716.0,2556.99,72.63,72.5,0.83
312,368,0.95,0.95,0.35,2826.04,1547.88,3574.95,54.64,60.14,20.01
313,445,0.7,0.7,0.15,2232.5,2232.5,63.5,74.57,74.57,5.01
314,464,1.28,1.05,0.55,1288.37,1200.0,319.32,45.47,57.68,22.87
315,473,1.06,1.17,0.27,1190.9,960.5,423.93,57.23,52.93,17.09
317,517,0.89,0.89,0.12,4881.5,4881.5,2709.5,72.01,72.01,1.48
335,160,1.02,1.04,0.22,1467.32,1095.34,960.97,42.5,48.14,19.81
336,173,0.43,0.43,0.26,7018.0,7018.0,5069.0,57.78,57.78,25.51
350,190,0.87,0.88,0.28,859.53,860.97,213.77,62.08,76.62,31.44
351,214,1.45,1.48,0.78,4813.51,1624.14,5284.96,72.63,66.73,20.37
352,151,1.41,1.41,0.0,1063.8,1063.8,0.0,19.46,19.46,0.0
355,120,2.32,2.32,0.0,326.28,326.28,0.0,62.7,62.7,0.0
356,137,1.57,1.56,0.54,700.02,665.2,232.11,57.57,55.41,30.2
358,153,0.92,0.92,0.0,829.67,829.67,0.0,100.0,100.0,0.0
378,167,0.7,0.71,0.31,10451.58,6004.5,8826.92,46.16,44.77,34.73
381,196,1.06,0.97,0.41,2403.6,2132.33,1649.27,36.34,40.66,22.57
382,212,0.81,0.81,0.04,1822.96,1822.96,93.71,18.63,18.63,4.26
392,205,1.12,1.12,0.61,1497.1,1497.1,1173.9,61.13,61.13,16.22
394,109,2.75,2.75,0.0,1057.0,1057.0,0.0,8.23,8.23,0.0
410,163,1.04,1.04,0.04,2235.88,2235.88,953.12,84.6,84.6,15.4
411,189,0.47,0.54,0.27,5836.17,4933.0,3817.29,66.78,74.89,21.61
416,158,0.76,0.78,0.19,2025.34,1486.96,1106.13,65.53,69.88,17.14
418,119,1.25,1.25,0.0,267.4,267.4,0.0,73.87,73.87,0.0
424,122,1.41,1.41,0.0,1058.67,1058.67,0.0,50.69,50.69,0.0
425,123,1.38,1.05,0.6,871.07,950.0,209.15,55.19,58.14,10.95
